source_path,source_sha256,bytes,read_complete,indexed,knowledge_extracted,source_cross_referenced,category,preservation_status,redacted,qa_status
attachments/PDPOne-Master-Design-And-Implementation-Prompt.txt,f87c0a9503fed3ca7f4625ffb49d73b36decd247bebd8a41d5fe9257c5a0b565,64516,complete,yes,yes,yes,attachments,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
attachments/PDPOne-Transfer-Prompt-Fast-Original-Core-v4.0.txt,41f0134b608604a0a5190ddf43c86a613b5deb46f902177db236537810c54351,37181,complete,yes,yes,yes,attachments,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
attachments/README.md,4b992f3a287eaefc86907ed08df2507aff45fad40816568d0e5cfe3823875735,493,complete,yes,yes,yes,attachments,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
backup-and-restore/PDP-ONE-PORTABLE-BACKUP-REPORT.json,12d836a2091bed656a78f262cc883cd09d28236fb64a351f0c5c6e28af163b6c,785,complete,yes,yes,yes,backup-and-restore,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
backup-and-restore/README.md,b793fd248779f9816c3c7e03c82292416d41e9ebfe04ba7c5afdc2a74d6fa840,414,complete,yes,yes,yes,backup-and-restore,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
backup-register.csv,a4227300aa7e05f7585aafdd43db0f125fe348e2affa227a3fa1300d08746768,497,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
connector-register.csv,c518a2bb27cdcaaa10626778af0a85150b98391ce74a58b8d7a32219ff3c5350,947,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
control/PDPOne-Transfer-Progress.json,7965a144a2b88bb4f80c936a80bfb331dd93061af93695c6c218faacddab134d,4138,complete,yes,yes,yes,control,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
control/PDPOne-Transfer-Resume-State.json,23902cb4798da57821c255676861284a67849c4505af76f82f94cce9f8e9e7ac,224,complete,yes,yes,yes,control,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
control/PDPOne-Transfer-Source-Ledger.json,e66eef4aa973168bc227710ad210a3905ce4d4818a56fcde3564f286d1d66630,1003,complete,yes,yes,yes,control,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
decision-register.csv,ad83b7e44757cf5649207da7a4fe5381e7af4335b10885c1359d60bb20160a65,2047,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
deployment-register.csv,e8be8c0ff031d57cf276bdaa6d063e9fc303fec585db04e3a80d7c0e7bae93eb,1236,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
deployment/PDP-ONE-AGENT-BOOTSTRAP-REPORT.json,e35448999532138ce478b781681badf20bf0886d1c03a6724bd7c4355983cc99,1201,complete,yes,yes,yes,deployment,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
deployment/README.md,50a1205b3b15d72c94170ca74d5dc4418d00ce600dcfdea3eff0953f5f2db506,463,complete,yes,yes,yes,deployment,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
deployment/agent-status.json,20807bbc4449f99f2b2b1deeafce9babb63e4f5eb87928b477c79e0fe46152d2,231,complete,yes,yes,yes,deployment,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
deployment/live-system-status.json,2d3f570c44699e5a34913468f87850fb3ec5e7d7710849ef27c10a79d5c2f088,479,complete,yes,yes,yes,deployment,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
deployment/procurement-v22-session-poll-27d1a611-20260724.json,8b1a43b050fc8d5607887ddbc11efd771afb6fc669ff1879db7ba11ddf33f05d,695,complete,yes,yes,yes,deployment,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
diagnostics/PDP-ONE-API-ROUTE-DIAGNOSTICS-sanitized.txt,8b1bd921793378ce159338752b75f1da76032a62c8952fa4a9bd1c5195658f71,13258,complete,yes,yes,yes,diagnostics,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
diagnostics/PDP-ONE-DOCKER-CLEANUP-REPORT.txt,cb35d454441aac036308cd609e270d2442ed68449cca1cdac723767e8858f042,16217,complete,yes,yes,yes,diagnostics,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
diagnostics/PDP-ONE-V18-DIAGNOSTICS-sanitized.txt,2fa3ce2491e165a19acf16ecf90c5b3829496f346490d1f34ca9133bf6d69a3f,144919,complete,yes,yes,yes,diagnostics,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
diagnostics/PDP-ONE-V22-LAST-DIAGNOSTICS-sanitized.txt,67d30d0046840a8865fd061a5d6e170c2e16176502af8cdfe2ec61bf5527449c,72861,complete,yes,yes,yes,diagnostics,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
diagnostics/PDP-ONE-V23-INSTALL-VERIFICATION-sanitized.txt,67616e56a4812947eaa2ed6f7cea01c22e170a0b0ccd27529e6c760e1af3a14c,8236,complete,yes,yes,yes,diagnostics,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
diagnostics/PDP-ONE-WSL-COMPACTION-REPORT.txt,1097d91dc4967dccfba85c07789b64c3bee9e77455fbb0d39aa432fa8e1d5013,11688,complete,yes,yes,yes,diagnostics,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
diagnostics/README.md,fffb14f7cb05e0f48a62e597e764df6bbe5700b50d9c8922ef6bac4dd8a5788c,422,complete,yes,yes,yes,diagnostics,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
evidence-register.csv,c60f1f0ec4559a13b57ece1620ff9b58049877137b2bfeaded5d2b9d0bf5ea6e,1776,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
evidence/README.md,723209d7361e05115b6416089185055c2bc48883616bdf45f4436c5452a14682,359,complete,yes,yes,yes,evidence,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
evidence/connector-acceptance-summary.json,be3975c6123e91654a458d12c636f0355b9e6952b20de2faa0755d5b2b4c9b76,2252,complete,yes,yes,yes,evidence,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
file-checksums.sha256,7469928cdb91ee4a8d43fba331228faa1610548435bbfa6494a6a3a8249d3f9f,6988,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
github-state.csv,a9e7199f4a7c24789f2ad3fa650db5d71c2ab052168eaad08573d3d41a8cef26,602,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
github/README.md,e35896c76ecd48aa88fdbd5e97e03b01f721e9568552d85091e433c3194d6fb3,521,complete,yes,yes,yes,github,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
github/live-github-snapshot.json,e2612fe706106937f07f0ca333c2f42a7e1a441dcf985d63bde6652c29e8466e,1439,complete,yes,yes,yes,github,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
issues-register.csv,5d125be14df08f8375c5e8eda939a675da944131d957ffd4b7b2d2116fa0e5e7,1572,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
project-state.json,be59ca547bb84ee19afb68d6548d2657b65ca8c811735dfb7aaf595cf492ed8b,5056,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
qa-result.json,7d8f39c41b99f579d77f3a38948098cb3c9737c86a8552913617cf4fd300676e,321,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
release/README.md,eca970294eb04bd57fc772dcc41553c90883ede03818061eae357625ca9f569d,376,complete,yes,yes,yes,release,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
release/release-baseline.json,9ca15ab0f45d970982a2cdf43f18fd8315143157f8f4d85f84f4ef7f87c3c7a6,268,complete,yes,yes,yes,release,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
transfer-manifest.json,d74778cbd6d9e3903cae49da4ebe1b0de71edd67996b670b19905cf95038565a,5264,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
unverified-items.csv,ad21446ea2d014ca6d425c663dbc7967e85ddc803c81317dce53165367a7a6b9,1155,complete,yes,yes,yes,root,Read/Audited + knowledge extracted/linked; original remains in verified Transfer v10 package,no,PASS
